"fund_month","state","term","rate","systemsize_bin","programfee_bin","total_funded_loans","total_serv_loans","delinquency_bin","loans_by_delinquency","loans_prv_delinquency","roll_rate_pct"
"201909","AR",20,"3.99","05-08","16-20","1","1","0","1",NULL,"0"
"201909","AZ",7,"7.99","13+","06-10","1","1","0","1",NULL,"0"
"201909","AZ",7,"7.99","13+","06-10","1","1","001-030","1","1","100.00"
"201909","AZ",10,"3.99","05-08","11-15","1","1","0","1",NULL,"0"
"201909","AZ",15,"3.49","09-12","16-20","1","1","0","1",NULL,"0"
"201909","AZ",20,"2.99","05-08","21-25","6","6","0","6",NULL,"0"
"201909","AZ",20,"2.99","09-12","21-25","1","1","0","1",NULL,"0"
"201909","AZ",20,"2.99","13+","21-25","1","1","0","1",NULL,"0"
"201909","AZ",20,"3.99","09-12","16-20","1","1","0","1",NULL,"0"
"201909","AZ",20,"3.99","13+","16-20","2","2","0","2",NULL,"0"
"201909","AZ",20,"5.99","05-08","06-10","1","1","0","1",NULL,"0"
"201909","AZ",20,"5.99","09-12","06-10","1","1","0","1",NULL,"0"
"201909","AZ",20,"5.99","09-12","11-15","1","1","0","1",NULL,"0"
"201909","AZ",25,"2.99","13+","21-25","1","1","0","1",NULL,"0"
"201909","AZ",25,"3.99","09-12","16-20","1","1","0","1",NULL,"0"
"201909","CA",10,"3.99","01-04","11-15","7","7","0","7",NULL,"0"
"201909","CA",10,"3.99","05-08","11-15","6","6","0","6",NULL,"0"
"201909","CA",10,"3.99","09-12","11-15","4","4","0","4",NULL,"0"
"201909","CA",10,"3.99","13+","11-15","1","1","0","1",NULL,"0"
"201909","CA",10,"4.99","09-12","11-15","1","1","0","1",NULL,"0"
"201909","CA",12,"2.99","05-08","16-20","2","2","0","2",NULL,"0"
"201909","CA",12,"2.99","09-12","16-20","1","1","0","1",NULL,"0"
"201909","CA",15,"4.99","09-12","11-15","1","1","0","1",NULL,"0"
"201909","CA",20,"2.99","01-04","21-25","5","5","0","5",NULL,"0"
